company_code,company_name,screenshot_page,source_filename,source_path,local_path,sha256,pixel_width,pixel_height,image_format,evidence_status,citation_note
002987.SZ,京北方,1,11.京北方-截图1.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图1.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图1.jpeg,a9297fd27f1399d23f7925bc6e7062a359ac8aaa94c35e9ccd4f7cc6e073b93a,2372,9187,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,2,11.京北方-截图2.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图2.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图2.jpeg,586cd5126ebdd3599c200c9c01b0c0177b23ab18ff2d8ea028b98f4b725ab0e1,2372,8687,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,3,11.京北方-截图3.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图3.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图3.jpeg,9284fa177e3df75998d0f134fad41b01fc49de59308fdd8ec264d33706730448,2372,9292,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,4,11.京北方-截图4.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图4.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图4.jpeg,c4335636bae3dae40d6422a7f6467f265ff0de12204a4b00219fea80ede06044,2372,5639,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,5,11.京北方-截图5.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图5.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图5.jpeg,88e6762ab6e47fe0277a99ed449337450d3840cc7ed0553319e6438ab986eb4e,2372,7965,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,6,11.京北方-截图6.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图6.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图6.jpeg,9885256040655a527693948a023810e043ea7c7f61b63a39abfb0808f72da95c,2372,9341,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,7,11.京北方-截图7.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图7.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图7.jpeg,dd102c8aee99da2da7408e5de7d90745a09060794df17780567749337d2d449f,2372,7964,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,8,11.京北方-截图8.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图8.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图8.jpeg,d01e108b5afdf52f1cea08887ebc22fcfe1fcea46cc744055022aaf2c43335a8,2372,9353,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,9,11.京北方-截图9.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图9.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图9.jpeg,0b0a8fc96b9e9a48a80f69d179f94f929efd8f2acf3f71869932ce04ec484e91,2372,6840,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,10,11.京北方-截图10.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图10.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图10.jpeg,54ee985676f8f18f15e2d80c304079722cdfd34520884e4cda63e37a35ba77f7,2372,6653,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,11,11.京北方-截图11.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图11.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图11.jpeg,fd65fbb2089ed5b1b204185bbcc0e8e5cfb8e0223385d3f477a41b8180de3a87,2372,7506,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,12,11.京北方-截图12.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图12.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图12.jpeg,0cd0b754f0cea25d05fbd0f3072df47892807b4708763c836b979e4f99aaa3e2,2372,9931,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,13,11.京北方-截图13.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图13.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图13.jpeg,b45e41bac67902b038f194e09a2bfd00993a9ca246aaf36ab6e59a3a20935c65,2372,6253,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,14,11.京北方-截图14.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图14.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图14.jpeg,bee1c0fb078abc188bde7940acf23be65413747a0ead1fb910c01b97abd9b643,2372,4425,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,15,11.京北方-截图15.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图15.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图15.jpeg,fd5054d7ea6246826c72d08ff8110a8248548f7689a0076761b7580f67112fe7,2372,4771,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,16,11.京北方-截图16.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图16.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图16.jpeg,ee9c1af60614eb38086eae75ef33df575663312a5ee3a3c47f80a2c28afcfa11,2372,10023,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
002987.SZ,京北方,17,11.京北方-截图17.jpeg,/Volumes/2023中国剧集精选/9-12/11.京北方-截图17.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图17.jpeg,e01ccd4eaecb7bd3e1dc2d79b92c78ddadc3b7d449bbfb30bab75bb1ce86c974,2372,12011,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
300663.SZ,科蓝软件,1,10.科蓝软件-截图.jpeg,/Volumes/2023中国剧集精选/9-12/10.科蓝软件-截图.jpeg,data/raw/product_page_screenshots/300663.SZ/10.科蓝软件-截图.jpeg,a4a2965ed1ac0c6588357330aecfec0a60aabecb6116a8790567778cb10f0f29,2372,4017,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
300872.SZ,天阳科技,1,9.天阳科技-截图1.jpeg,/Volumes/2023中国剧集精选/9-12/9.天阳科技-截图1.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图1.jpeg,64cbc9d78be58fba84d918c92b4d147c958e162f5ad56d6eab1d2fee377a50c7,1938,8329,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
300872.SZ,天阳科技,2,9.天阳科技-截图2.jpeg,/Volumes/2023中国剧集精选/9-12/9.天阳科技-截图2.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图2.jpeg,8c71360e2ffa6034a79469cd9b885e0c739b27e862ebc372a9f173cc3f4f5f48,1938,4340,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
300872.SZ,天阳科技,3,9.天阳科技-截图3.jpeg,/Volumes/2023中国剧集精选/9-12/9.天阳科技-截图3.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图3.jpeg,d897a4c57340ec312c41eea53d507d76dbffc786e6ca184c8185158a2e8c815a,1938,4519,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
300872.SZ,天阳科技,4,9.天阳科技-截图4.jpeg,/Volumes/2023中国剧集精选/9-12/9.天阳科技-截图4.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图4.jpeg,97d4760acdf9f0f91d74147e74f698a6e4fdfbdbd5828c5e405f5239e0870a47,1938,4816,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
300872.SZ,天阳科技,5,9.天阳科技-截图5.jpeg,/Volumes/2023中国剧集精选/9-12/9.天阳科技-截图5.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图5.jpeg,93f00203dbc89306c3bc33ddabbcb756d9065e96459c163fe8d04507ec879501,1938,6113,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,1,12.中科软-截图1.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图1.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图1.jpeg,1f7cbf3dc93af1c6058268991d25cee5befb614de2d14585e8bd0f223c17fea5,2372,3734,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,2,12.中科软-截图2.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图2.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图2.jpeg,362057854ff975063e7ce6b139cfcf51e3801dc1b11a3c63a3a64b866e2a6797,2372,4361,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,3,12.中科软-截图3.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图3.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图3.jpeg,8c0acd0c1937bce42b376af3d921a0daaba36b392a7467f2d6ec7e24265db492,2372,1971,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,4,12.中科软-截图4.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图4.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图4.jpeg,c060cae94a0081f125840635966f96cb6be48538ae394f7b76196f043994e97b,2372,2825,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,5,12.中科软-截图5.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图5.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图5.jpeg,7385c7f85555a8245e501bf6d32ce4726505f601f6e7b2a743958265ac14037a,2372,2838,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,6,12.中科软-截图6.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图6.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图6.jpeg,c9b58d0ed6dce45641cc7c688327ad83224eaad3b163ddfbf4199d8fe97ac134,2372,1892,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,7,12.中科软-截图7.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图7.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图7.jpeg,1d1fcb45e91170726d48aff5da4f28bfc963e3974883c9dda163743c5f44059e,2372,3035,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,8,12.中科软-截图8.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图8.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图8.jpeg,b2165bb57cc5cf599d47db8bd7f9cdaca9424bc02a1b5da62a628db010898b6e,2372,1771,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,9,12.中科软-截图9.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图9.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图9.jpeg,2d7f1d16b47365d747323b0a83099ae63a3f8b92a5f4885a81db41de22076cdb,2372,1771,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,10,12.中科软-截图10.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图10.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图10.jpeg,64d3b870b28450152f30f837aacabae49b77f52a5390ec302fbde59af637cbe8,2372,1847,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
603927.SH,中科软,11,12.中科软-截图11.jpeg,/Volumes/2023中国剧集精选/9-12/12.中科软-截图11.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图11.jpeg,baca03f4f81e186e1e5946d75665ca272a4d4097924bbe97a84c82c184a0472e,2372,1771,JPEG,user_provided_product_page_screenshot,引用具体产品、能力、案例或数值前，应回到本截图可见位置或对应官网页面人工复核。
