keyword,category,definition,source_type,source_reference,verified_by,verified_date
AIGC,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
MLOps,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
人工智能,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
强化学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
无监督学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
机器学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
模型可解释性,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
模型推理,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
模型治理,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
模型监控,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
模型训练,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
模型部署,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
深度学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
特征工程,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
监督学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
知识蒸馏,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
神经网络,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
联邦学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
自监督学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
迁移学习,人工智能基础,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
信息抽取,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
光学字符识别,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
向量数据库,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
命名实体识别,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
多模态模型,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
大语言模型,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
对话机器人,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
嵌入模型,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
微调,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
提示工程,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
文本分类,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
文本摘要,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
智能客服,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
智能问答,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
检索增强生成,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
生成式人工智能,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
语义检索,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
语音合成,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
语音识别,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
预训练模型,大模型与语言技术,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
AIOps,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
API网关,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
DevOps,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
