company_code,company_name,product_line,technical_category,application_scenario,screenshot_page,source_filename,source_path,evidence_text,entity_source,verification_status
002987.SZ,京北方,盘庚测试平台类,工程与基础设施,金融软件测试,1,11.京北方-截图1.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图1.jpeg,页面说明将人工智能和大数据技术引入测试平台。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,数字化协同办公平台,视觉与智能决策,金融运营协同,2,11.京北方-截图2.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图2.jpeg,页面说明使用 OCR、智能纠错和智能机器人。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,统一影像管理平台,视觉与智能决策,金融影像管理,2,11.京北方-截图2.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图2.jpeg,页面说明使用 OCR。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,综合档案管理系统,大模型与语言技术,金融档案管理,2,11.京北方-截图2.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图2.jpeg,页面说明使用自然语言处理技术和大模型算法。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,NLP及大模型算法服务平台,大模型与语言技术,金融文本与知识处理,4,11.京北方-截图4.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图4.jpeg,页面直接列示 NLP 及大模型算法服务平台。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,OCR智能识别服务平台,视觉与智能决策,金融文档识别,4,11.京北方-截图4.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图4.jpeg,页面直接列示 OCR 智能识别服务平台。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,RPA机器人流程自动化平台,工程与基础设施,金融流程自动化,4,11.京北方-截图4.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图4.jpeg,页面直接列示 RPA 机器人流程自动化平台。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,企业知识助手,大模型与语言技术,金融知识服务,4,11.京北方-截图4.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图4.jpeg,页面直接列示企业知识助手。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,流程平台,工程与基础设施,金融业务流程设计,5,11.京北方-截图5.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图5.jpeg,页面说明流程平台采用人工智能识别技术。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,事后监督系统,视觉与智能决策,银行运营监督,6,11.京北方-截图6.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图6.jpeg,页面说明采用 OCR 和 AI 智能化手段识别凭证与记录。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,数字化运营管理平台,视觉与智能决策,银行运营监控,6,11.京北方-截图6.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图6.jpeg,页面说明基于 AI 计算机视觉进行视频异常监控。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,运营风险监控系统,金融业务场景,银行运营风险,6,11.京北方-截图6.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图6.jpeg,页面说明使用大数据风险模型和机器学习。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,集约化运营系统（含集中授权）,视觉与智能决策,银行集中运营,6,11.京北方-截图6.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图6.jpeg,页面说明智能授权使用 AI-OCR。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,基金代销系统,金融业务场景,基金代销,8,11.京北方-截图8.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图8.jpeg,页面说明提供智能推荐。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,理财销售系统,金融业务场景,理财销售,8,11.京北方-截图8.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图8.jpeg,页面说明使用 OCR、NLP 等技术。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,资产管理系统,金融业务场景,资产管理,8,11.京北方-截图8.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图8.jpeg,页面说明融入人工智能和大数据，并使用 AI 模型。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,供应链金融服务平台,金融业务场景,供应链金融与信贷,9,11.京北方-截图9.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图9.jpeg,页面说明采用人工智能并支持合同审查、OCR 等。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
002987.SZ,京北方,反洗钱监测分析系统,金融业务场景,反洗钱与合规,10,11.京北方-截图10.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图10.jpeg,页面说明采用人工智能和大语言模型。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
300663.SZ,科蓝软件,AI原生手机银行,人工智能基础,智能渠道与手机银行,1,10.科蓝软件-截图.jpeg,data/raw/product_page_screenshots/300663.SZ/10.科蓝软件-截图.jpeg,页面列示“AI原生手机银行”。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
300663.SZ,科蓝软件,Galaxy OCR证件识别,视觉与智能决策,证件识别与网点业务,1,10.科蓝软件-截图.jpeg,data/raw/product_page_screenshots/300663.SZ/10.科蓝软件-截图.jpeg,页面列示“Galaxy OCR证件识别”。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
300663.SZ,科蓝软件,智能高柜数字机器人“小蓝”,人工智能基础,银行网点服务,1,10.科蓝软件-截图.jpeg,data/raw/product_page_screenshots/300663.SZ/10.科蓝软件-截图.jpeg,页面列示“智能高柜数字机器人‘小蓝’”。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
603927.SH,中科软,人工智能平台,人工智能基础,财产保险产品支撑,1,12.中科软-截图1.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图1.jpeg,财产保险产品体系中列示人工智能平台。,official_product_page_screenshot,page_verified_explicit_ai_financial_scope
