company_code,source_id,section,keyword,category,similarity,rank
600570.SH,AR_600570_SH_2025,business_overview,资产管理,金融业务场景,0.506855,1
600570.SH,AR_600570_SH_2025,business_overview,业财一体化,金融业务场景,0.497288,2
600570.SH,AR_600570_SH_2025,business_overview,支付清算,金融业务场景,0.49309,3
600570.SH,AR_600570_SH_2025,business_overview,数据资产,数据与安全,0.492462,4
600570.SH,AR_600570_SH_2025,business_overview,流式计算,数据与安全,0.490485,5
600570.SH,AR_600570_SH_2025,business_overview,量化投资,金融业务场景,0.486716,6
600570.SH,AR_600570_SH_2025,business_overview,信用评分,金融业务场景,0.476232,7
600570.SH,AR_600570_SH_2025,business_overview,数字银行,金融业务场景,0.475186,8
600570.SH,AR_600570_SH_2025,business_overview,核心银行系统,金融业务场景,0.468271,9
600570.SH,AR_600570_SH_2025,business_overview,财务SaaS,金融业务场景,0.467839,10
600570.SH,AR_600570_SH_2025,business_overview,信贷风控,金融业务场景,0.465087,11
600570.SH,AR_600570_SH_2025,business_overview,财富管理,金融业务场景,0.459845,12
600570.SH,AR_600570_SH_2025,core_competitiveness,资产管理,金融业务场景,0.553787,1
600570.SH,AR_600570_SH_2025,core_competitiveness,授信审批,金融业务场景,0.517214,2
600570.SH,AR_600570_SH_2025,core_competitiveness,财富管理,金融业务场景,0.509748,3
600570.SH,AR_600570_SH_2025,core_competitiveness,业财一体化,金融业务场景,0.509358,4
600570.SH,AR_600570_SH_2025,core_competitiveness,核心银行系统,金融业务场景,0.507625,5
600570.SH,AR_600570_SH_2025,core_competitiveness,信用评分,金融业务场景,0.501341,6
600570.SH,AR_600570_SH_2025,core_competitiveness,量化投资,金融业务场景,0.501225,7
600570.SH,AR_600570_SH_2025,core_competitiveness,贷后管理,金融业务场景,0.49703,8
600570.SH,AR_600570_SH_2025,core_competitiveness,财务SaaS,金融业务场景,0.481533,9
600570.SH,AR_600570_SH_2025,core_competitiveness,信贷风控,金融业务场景,0.4799,10
600570.SH,AR_600570_SH_2025,core_competitiveness,开放银行,金融业务场景,0.47728,11
600570.SH,AR_600570_SH_2025,core_competitiveness,银行IT,金融业务场景,0.474219,12
600570.SH,AR_600570_SH_2025,r_and_d,核心银行系统,金融业务场景,0.553617,1
600570.SH,AR_600570_SH_2025,r_and_d,金融云,工程与基础设施,0.546548,2
600570.SH,AR_600570_SH_2025,r_and_d,供应链金融,金融业务场景,0.540003,3
600570.SH,AR_600570_SH_2025,r_and_d,资产管理,金融业务场景,0.533086,4
600570.SH,AR_600570_SH_2025,r_and_d,量化投资,金融业务场景,0.532899,5
600570.SH,AR_600570_SH_2025,r_and_d,金融大数据,数据与安全,0.532683,6
600570.SH,AR_600570_SH_2025,r_and_d,财务SaaS,金融业务场景,0.525719,7
600570.SH,AR_600570_SH_2025,r_and_d,信贷风控,金融业务场景,0.518302,8
600570.SH,AR_600570_SH_2025,r_and_d,银行IT,金融业务场景,0.517784,9
600570.SH,AR_600570_SH_2025,r_and_d,业财一体化,金融业务场景,0.512589,10
600570.SH,AR_600570_SH_2025,r_and_d,AIOps,工程与基础设施,0.511759,11
600570.SH,AR_600570_SH_2025,r_and_d,财富管理,金融业务场景,0.511489,12
600570.SH,AR_600570_SH_2025,management_discussion,财务SaaS,金融业务场景,0.48065,1
600570.SH,AR_600570_SH_2025,management_discussion,核心银行系统,金融业务场景,0.469321,2
600570.SH,AR_600570_SH_2025,management_discussion,资产管理,金融业务场景,0.4604,3
600570.SH,AR_600570_SH_2025,management_discussion,业财一体化,金融业务场景,0.459635,4
600570.SH,AR_600570_SH_2025,management_discussion,数据资产,数据与安全,0.458875,5
600570.SH,AR_600570_SH_2025,management_discussion,财富管理,金融业务场景,0.454136,6
600570.SH,AR_600570_SH_2025,management_discussion,量化投资,金融业务场景,0.442781,7
600570.SH,AR_600570_SH_2025,management_discussion,财务共享,金融业务场景,0.441843,8
600570.SH,AR_600570_SH_2025,management_discussion,安全运营,数据与安全,0.424366,9
