job_id,prompt_version,run_id,model_id,started_at,finished_at,raw_model_output,parsed_json_path
JOB_0178,P1,R1,deepseek-v4-flash,2026-08-13T15:23:26.962478+00:00,2026-08-13T15:23:29.875279+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""Android APP 研发"", ""代码架构设计"", ""性能调优"", ""bug 修复"", ""跟踪新技术"", ""解决技术难点"", ""产品分析"", ""优化方案设计""],
  ""soft_skills"": [""独立开发与问题解决能力"", ""主动解决问题的意识"", ""团队协作能力"", ""产品思维"", ""创新意识""],
  ""education"": ""全日制统招本科及以上学历"",
  ""experience"": ""3年以上软件开发经验"",
  ""ai_tech_stack"": [],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""技能要求：具备 Android APP 研发、代码架构设计、性能调优与 bug 修复能力；具备跟踪新技术、解决技术难点的能力；具备产品分析与优化方案设计能力。"",
    ""soft_skills"": ""具备独立开发与问题解决能力；具备主动解决问题的意识；具备良好的团队协作能力；具备产品思维与创新意识"",
    ""education"": ""学历要求：全日制统招本科及以上学历"",
    ""experience"": ""经验要求：3 年以上软件开发经验"",
    ""ai_tech_stack"": ""AI相关技术栈要求：""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0178.json
JOB_0195,P1,R1,deepseek-v4-flash,2026-08-13T15:23:26.962069+00:00,2026-08-13T15:23:30.531781+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""用户需求调研"", ""需求分析"", ""撰写需求文档"", ""AXURE原型设计"", ""系统验证""],
  ""soft_skills"": [""逻辑思维能力"", ""分析能力"", ""业务理解能力"", ""学习能力"", ""文档撰写能力"", ""抗压能力"", ""责任感"", ""主动好学"", ""性格开朗"", ""沟通协调能力"", ""团队协作能力""],
  ""education"": ""全日制本科或研究生以上学历，2027届计算机、金融或财务相关专业毕业生"",
  ""experience"": null,
  ""ai_tech_stack"": [],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""技能要求：1、负责公司资金清算或信息披露或估值核算等相关产品用户需求调研、分析整理及跟踪；2、撰写用户需求说明书与需求设计等相关文档；3、使用AXURE等原型工具绘制界面原型或使用相关工具对系统的指标或模型进行验证；"",
    ""soft_skills"": ""经验要求：1、有较强的逻辑思维能力，分析能力，了解金融及经济学理论知识，热爱金融行业；2、具备较强的业务理解和学习能力，能快速学习新业务，文档撰写能力较好；3、工作抗压能力强，能适应中短期出差。性格特征：责任感强，主动好学，性格开朗，有良好沟通协调能力，有良好的团队协作能力。"",
    ""education"": ""学历要求：1、全日制本科或研究生以上学历，2027届计算机、金融或财务相关专业毕业生；"",
    ""experience"": null,
    ""ai_tech_stack"": null
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0195.json
JOB_0180,P1,R1,deepseek-v4-flash,2026-08-13T15:23:26.962663+00:00,2026-08-13T15:23:30.618938+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""互联网金融功能设计"", ""用户体验设计"", ""业务流程设计"", ""撰写需求文档"", ""撰写咨询报告"", ""软件系统简单测试"", ""Word"", ""Axure""],
  ""soft_skills"": [""敏锐的互联网洞察力"", ""金融产品洞察力"", ""软件信息技术洞察力"", ""创新意识"", ""沟通能力"", ""团队合作意识"", ""分析能力"", ""写作能力"", ""项目推进能力"", ""跨部门协同能力""],
  ""education"": ""全日制本科或以上学历，金融、经济、电子商务、工商管理、国贸等专业"",
  ""experience"": ""一年以上相关工作经验，有互联网、金融行业经验更佳"",
  ""ai_tech_stack"": [],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""技能要求：具备互联网金融功能、用户体验、业务流程设计能力；能撰写需求文档、咨询报告；具备软件系统简单测试能力；熟练使用 Word、Axure 软件。"",
    ""soft_skills"": ""具备敏锐的互联网、金融产品、软件信息技术洞察力与创新意识；具备较强的沟通能力与团队合作意识；具备良好的分析与写作能力；具备项目推进与跨部门协同能力"",
    ""education"": ""学历要求：全日制本科或以上学历，金融、经济、电子商务、工商管理、国贸等专业"",
    ""experience"": ""经验要求：一年以上相关工作经验，有互联网、金融行业经验更佳"",
    ""ai_tech_stack"": ""AI相关技术栈要求：""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0180.json
JOB_0176,P1,R1,deepseek-v4-flash,2026-08-13T15:23:29.880542+00:00,2026-08-13T15:23:33.357007+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""Java"", ""JavaScript"", ""C"", ""J2EE"", ""Tomcat"", ""JBOSS"", ""Weblogic"", ""Web Sphere"", ""编码"", ""单元测试""],
  ""soft_skills"": [""团队协作意识"", ""执行与跟进能力"", ""编码规范与流程执行能力"", ""文档编写能力""],
  ""education"": ""统招211知名高校本科及以上学历，计算机软件相关专业"",
  ""experience"": ""一年以上大、中型JAVA项目开发经验"",
  ""ai_tech_stack"": [],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""技能要求：熟练掌握 Java、JavaScript、C 等语言及 J2EE 架构；熟悉 Tomcat、JBOSS、Weblogic、Web Sphere 主流应用服务器至少一种；能根据设计文档高效完成编码、单元测试。"",
    ""soft_skills"": ""具备良好的编码规范与流程执行能力；具备团队协作意识；能配合完成项目相关文档编写；具备较强的执行与跟进能力"",
    ""education"": ""学历要求：统招 211 知名高校本科及以上学历，计算机软件相关专业"",
    ""experience"": ""经验要求：一年以上大、中型 JAVA 项目开发经验"",
    ""ai_tech_stack"": ""AI相关技术栈要求：""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0176.json
JOB_0205,P1,R1,deepseek-v4-flash,2026-08-13T15:23:30.536382+00:00,2026-08-13T15:23:34.277537+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""JAVA/J2EE开发能力"", ""SpringMVC"", ""SpringBoot"", ""VUE"", ""MySQL/Oracle"", ""SQL语言编写"", ""git"", ""Linux常用命令"", ""redis缓存技术"", ""SSM框架"", ""微服务框架"", ""DB2数据库""],
  ""soft_skills"": [""逻辑思维能力"", ""问题解决能力"", ""沟通能力"", ""吃苦耐劳"", ""承压能力""],
  ""education"": ""全日制本科及以上学历，计算机或相关专业"",
  ""experience"": ""3-5年工作经验，5年以上实际java开发项目经验，有金融或银行项目实施经验优先"",
  ""ai_tech_stack"": [],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""硬技能：JAVA/J2EE开发能力，SpringMVC、SpringBoot等JAVA框架使用能力，VUE等前端框架使用能力，MySQL/Oracle等数据库操作能力，SQL语言编写能力，git、Linux常用命令使用能力，redis缓存技术、SSM框架、微服务框架、DB2数据库掌握能力"",
    ""soft_skills"": ""软技能：逻辑思维能力，问题解决能力，沟通能力，吃苦耐劳，承压能力"",
    ""education"": ""学历要求：全日制本科及以上学历，计算机或相关专业"",
    ""experience"": ""经验要求：3-5年工作经验，5年以上实际java开发项目经验，有金融或银行项目实施经验优先"",
    ""ai_tech_stack"": ""AI相关技术栈要求：""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0205.json
JOB_0212,P1,R1,deepseek-v4-flash,2026-08-13T15:23:30.624597+00:00,2026-08-13T15:23:34.395871+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [
    ""银行私域用户增长运营能力"",
    ""营销运营体系搭建能力"",
    ""线上营销工具使用能力"",
    ""营销活动策划与执行能力"",
    ""运营效果监测与分析能力"",
    ""业务指标体系建立能力"",
    ""数据分析与精细化运营能力""
  ],
  ""soft_skills"": [
    ""用户洞察能力"",
    ""增长思维"",
    ""策划与方案统筹能力"",
    ""执行力"",
    ""沟通能力"",
    ""抗压能力"",
    ""结果导向""
  ],
  ""education"": ""本科及以上学历，市场营销、媒体传播等相关专业毕业优先"",
  ""experience"": ""2年以上金融行业营销运营经验，有金融产品运营及用户增长运营相关工作经验者优先"",
  ""ai_tech_stack"": [],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""硬技能：银行私域用户增长运营能力，营销运营体系搭建能力，线上营销工具使用能力，营销活动策划与执行能力，运营效果监测与分析能力，业务指标体系建立能力，数据分析与精细化运营能力"",
    ""soft_skills"": ""软技能：用户洞察能力，增长思维，策划与方案统筹能力，执行力，沟通能力，抗压能力，结果导向"",
    ""education"": ""学历要求：本科及以上学历，市场营销、媒体传播等相关专业毕业优先"",
    ""experience"": ""经验要求：2年以上金融行业营销运营经验，有金融产品运营及用户增长运营相关工作经验者优先"",
    ""ai_tech_stack"": ""AI相关技术栈要求：无明确要求""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0212.json
JOB_0209,P1,R1,deepseek-v4-flash,2026-08-13T15:23:33.361546+00:00,2026-08-13T15:23:37.452164+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [
    ""新产品方向策划与确定能力"",
    ""信贷类软件产品研发组织与管理能力"",
    ""解决方案管理与市场推广能力"",
    ""售前项目管理能力"",
    ""团队培养与培训能力"",
    ""信贷业务需求设计能力""
  ],
  ""soft_skills"": [
    ""归纳提炼总结能力"",
    ""沟通能力"",
    ""方案与需求编制能力"",
    ""市场趋势洞察能力""
  ],
  ""education"": ""国内985/211大学或者海外QS排名100以内的著名大学的经济学、金融学、统计学相关本科及以上学历"",
  ""experience"": ""6年以上金融it行业相关工作经验，熟悉银行、公司信贷业务、零售信贷业务、投行类业务、同业类业务等企业类授信相关的流程及管理制度"",
  ""ai_tech_stack"": [
    ""AI+MCN"",
    ""AI行业研究"",
    ""AI相关标的筛选与投资价值评估""
  ],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""硬技能：新产品方向策划与确定能力，信贷类软件产品研发组织与管理能力，解决方案管理与市场推广能力，售前项目管理能力，团队培养与培训能力，信贷业务需求设计能力"",
    ""soft_skills"": ""软技能：归纳提炼总结能力，沟通能力，方案与需求编制能力，市场趋势洞察能力"",
    ""education"": ""学历要求：国内985/211大学或者海外QS排名100以内的著名大学的经济学、金融学、统计学相关本科及以上学历"",
    ""experience"": ""经验要求：6年以上金融it行业相关工作经验，熟悉银行、公司信贷业务、零售信贷业务、投行类业务、同业类业务等企业类授信相关的流程及管理制度"",
    ""ai_tech_stack"": ""AI相关技术栈要求：聚焦 AI+MCN 领域，需开展 AI 行业研究、AI 相关标的筛选与投资价值评估""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0209.json
JOB_0171,P1,R1,deepseek-v4-flash,2026-08-13T15:23:34.280275+00:00,2026-08-13T15:23:37.750794+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""JavaScript"", ""ES5/ES6"", ""Vue"", ""Angular"", ""React"", ""Echarts"", ""前端工程化"", ""Git"", ""组件化开发""],
  ""soft_skills"": [""规范开发习惯"", ""需求理解顺畅"", ""团队协作意识强""],
  ""education"": ""本科"",
  ""experience"": ""3-5年"",
  ""ai_tech_stack"": [""AI数据分析结果展示"", ""智能金融业务交互页面开发""],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""技能要求：精通 JavaScript、ES5/ES6；熟练 Vue、Angular、React、Echarts；掌握前端工程化、Git、组件化开发。"",
    ""soft_skills"": ""规范开发习惯；需求理解顺畅；团队协作意识强"",
    ""education"": ""学历要求：本科"",
    ""experience"": ""经验要求：3-5 年"",
    ""ai_tech_stack"": ""AI相关技术栈要求：开发银行智能管理后台、数据可视化大屏，承载 AI 数据分析结果展示、智能金融业务交互页面开发""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0171.json
JOB_0173,P1,R1,deepseek-v4-flash,2026-08-13T15:23:34.399602+00:00,2026-08-13T15:23:38.808543+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""DCMM数据治理成熟度评估体系"", ""数据标准"", ""数据字典"", ""元数据"", ""数据质量"", ""指标体系"", ""数据资产全流程治理"", ""数据血缘梳理"", ""数据资产目录搭建"", ""业务建模"", ""指标梳理"", ""数仓对接"", ""数据中台对接"", ""客户调研访谈"", ""方案编写"", ""项目落地推进""],
  ""soft_skills"": [""多方团队沟通协调"", ""闭环项目管理""],
  ""education"": ""本科及以上"",
  ""experience"": ""5-10年；5年以上数据治理咨询/实施全流程操盘经验；拥有能源集团客户落地案例优先"",
  ""ai_tech_stack"": [""金融大模型"", ""智能分析"", ""金融数据智能清洗"", ""指标智能识别""],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""技能要求：掌握 DCMM 数据治理成熟度评估体系；精通数据标准、数据字典、元数据、数据质量、指标体系、数据资产全流程治理；熟悉数据血缘梳理、数据资产目录搭建；具备业务建模、指标梳理能力；能对接数仓、数据中台；客户调研访谈、方案编写、项目落地推进"",
    ""soft_skills"": ""多方团队沟通协调、闭环项目管理"",
    ""education"": ""学历要求：本科及以上"",
    ""experience"": ""经验要求：5-10 年；5 年以上数据治理咨询 / 实施全流程操盘经验；拥有能源集团客户落地案例优先"",
    ""ai_tech_stack"": ""AI相关技术栈要求：岗位未直接写明 AI 技术栈；岗位属于金融 AI 底层数据底座建设，工作产出为金融大模型、智能分析提供高质量治理后的数据，可适配金融数据智能清洗、指标智能识别等 AI 场景；需要理解数据如何支撑智能化数据分析应用""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0173.json
JOB_0129,P1,R1,deepseek-v4-flash,2026-08-13T15:23:37.753968+00:00,2026-08-13T15:23:41.754530+00:00,"{
  ""job_title"": null,
  ""salary_range"": null,
  ""work_location"": null,
  ""hard_skills"": [""Java"", ""JVM"", ""IO"", ""多线程"", ""并发"", ""集合"", ""分布式"", ""缓存"", ""消息"", ""Spring"", ""Spring Cloud"", ""Hibernate"", ""Netty"", ""Dubbo"", ""Tomcat"", ""Nginx"", ""Zookeeper"", ""MySQL"", ""Redis"", ""SQL索引优化"", ""查询优化"", ""存储过程优化"", ""TCP/IP"", ""HTTP"", ""RESTful"", ""API开发"", ""Maven"", ""Jenkins"", ""JUnit"", ""Html"", ""Javascript"", ""Css"", ""Angularjs""],
  ""soft_skills"": [""良好的开发习惯""],
  ""education"": ""本科"",
  ""experience"": ""5-10年"",
  ""ai_tech_stack"": [],
  ""evidence"": {
    ""job_title"": null,
    ""salary_range"": null,
    ""work_location"": null,
    ""hard_skills"": ""技能要求：3年以上Java开发工作经验，精通Java开发，了解JVM原理；熟悉IO、多线程和并发、集合等基础框架，熟悉分布式、缓存、消息等机制；熟悉Spring、Spring Cloud、Hibernate、Netty/Dubbo等Java开源框架，熟悉Tomcat、Nginx、Zookeeper等开源工具；熟悉MySQL、Redis常用DB/Cache数据库，熟悉SQL索引优化、查询优化和存储过程优化；熟悉TCP/IP协议，熟悉HTTP协议和RESTful规范，有API开发经验；有良好的开发习惯，熟悉Maven、Jenkins、JUnit；熟悉Html、Javascript、Css等前端开发技术，有Angularjs等前端框架开发经验优先"",
    ""soft_skills"": ""有良好的开发习惯"",
    ""education"": ""学历要求：本科"",
    ""experience"": ""经验要求：5-10年"",
    ""ai_tech_stack"": ""AI相关技术栈要求：无""
  }
}",data/interim/llm_outputs/deepseek-v4-flash/P1/R1/JOB_0129.json
