sample_order,company_code,company_name,segment,core_ai_fintech_capability,selection_basis,screening_status,source_document,product_page_title,product_url,source_workbook,source_row,access_date,status,product_link_status
1,600570.SH,恒生电子,证券与资管科技,LightGPT大模型、WarrenQ智能投研平台与LIGHT 6.0 AI生态架构,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,恒生电子,https://www.hundsun.com/,产品页链接汇总.xlsx,2,2026-08-13,user_provided_link,已提供
2,300033.SZ,同花顺,证券与资管科技,问财金融大模型、同创智能体平台及C端投顾与B端投研,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,同花顺智能科技,https://www.thsyun.com/#/service/CustomerServiceBot,产品页链接汇总.xlsx,3,2026-08-13,user_provided_link,已提供
3,300059.SZ,东方财富,证券与资管科技,妙想金融大模型与投研助理,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,产品业务_东方财富网,https://about.eastmoney.com/about/product,产品页链接汇总.xlsx,4,2026-08-13,user_provided_link,已提供
4,600446.SH,金证股份,证券与资管科技,K-GPT、AI-KOCA与金融RPA/流程自动化,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,金证股份--国内领军的金融科技全领域服务商,https://www.szkingdom.com/product/31,产品页链接汇总.xlsx,5,2026-08-13,user_provided_link,已提供
5,300377.SZ,赢时胜,证券与资管科技,资管与托管IT、AI Agent专业服务器与大模型适配,Qwen/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,http://www.ysstech.com/solutions/financial-tech,http://www.ysstech.com/solutions/financial-tech,产品页链接汇总.xlsx,6,2026-08-13,user_provided_link,已提供
6,300674.SZ,宇信科技,银行科技,信贷AI智能体、ChatBI及金融机构信贷流程智能化,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,宇信科技-中国银行业IT解决方案市场中领军企业之一,https://www.yusys.com.cn/,产品页链接汇总.xlsx,7,2026-08-13,user_provided_link,已提供
7,000555.SZ,神州信息,银行科技,企业级智能体中台、Skillbase Agent OS与AI for Process,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,产品与解决方案 - 神州信息官网-成为领先的金融数智化转型合作伙伴,https://www.dcits.com/product-and-solution/,产品页链接汇总.xlsx,8,2026-08-13,user_provided_link,已提供
8,300348.SZ,长亮科技,银行科技,AI4SE/AI4Biz、分布式AI核心系统与金融垂域大模型对接,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,产品服务,https://www.sunline.cn/products.html,产品页链接汇总.xlsx,9,2026-08-13,user_provided_link,已提供
9,300872.SZ,天阳科技,银行科技,天策/天元金融大模型、信用卡与智能风控/信贷审批,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,金融科技产品-天阳科技,https://www.tansun.com.cn/product/222,产品页链接汇总.xlsx,10,2026-08-13,user_provided_link,已提供
10,300663.SZ,科蓝软件,银行科技,魔聚企业级智能体底座、AI原生手机银行与网点智能机器人,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,北京科蓝软件系统股份有限公司,https://www.csii.com.cn/proSolu.html,产品页链接汇总.xlsx,11,2026-08-13,user_provided_link,已提供
11,002987.SZ,京北方,银行与保险科技,金融知识智能体、数字员工、智能客服与风控,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,京北方,https://www.northking.net/page/cp/cp-3.html,产品页链接汇总.xlsx,12,2026-08-13,user_provided_link,已提供
12,603927.SH,中科软,保险科技,中科文澜大模型、AI+云原生寿险核心系统与智能核保/理赔,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,财产保险_中科软科技,https://www.sinosoft.com.cn/customer/ccbx/,产品页链接汇总.xlsx,13,2026-08-13,user_provided_link,已提供
13,688590.SH,新致软件,保险科技,新知大模型、AI一体机、保险智能理赔与双录质检,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,https://www.newtouch.com/#/solution?id=0,https://www.newtouch.com/,产品页链接汇总.xlsx,14,2026-08-13,user_provided_link,已提供
14,002230.SZ,科大讯飞,泛金融AI底座,星火大模型在银行、保险与证券客服、营销、投研场景的服务能力,Qwen/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,http://fintech.iflytek.com/solution/18.html,http://fintech.iflytek.com/solution/18.html,产品页链接汇总.xlsx,15,2026-08-13,user_provided_link,已提供
15,300229.SZ,拓尔思,泛金融AI底座,拓天金融大模型、NLP与知识图谱的金融舆情与风控应用,Qwen/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,https://www.trs.com.cn/,https://www.trs.com.cn/,产品页链接汇总.xlsx,16,2026-08-13,user_provided_link,已提供
