company_code,company_name,product_line,ai_direction,application_scenario,source_type,source_reference,verification_status
600570.SH,恒生电子,LightGPT与WarrenQ智能投研平台,大模型与智能投研,机构核心交易与投研,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300033.SZ,同花顺,问财金融大模型与同创智能体平台,大模型与智能投顾,C端投顾与B端机构投研,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300059.SZ,东方财富,妙想金融大模型与妙想投研助理,大模型与投研,投研与交易闭环,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
600446.SH,金证股份,K-GPT与AI-KOCA平台,金融大模型与流程智能化,证券IT与RPA,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300377.SZ,赢时胜,AI-Agent专业服务器,智能体与资管IT,资管风控与投研决策,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300674.SZ,宇信科技,星睿智调信贷AI智能体与ChatBI,信贷智能体与数据智能,信贷尽调、审批与数据分析,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
000555.SZ,神州信息,企业级智能体中台与Skillbase Agent OS,流程智能体,银行业务流程,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300348.SZ,长亮科技,分布式AI核心系统,AI原生核心系统,银行核心系统与金融垂域模型,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300872.SZ,天阳科技,天策/天元金融大模型,金融大模型与风控,信用卡、风控与信贷审批,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300663.SZ,科蓝软件,魔聚企业级智能体底座,智能体与AI原生渠道,手机银行与网点机器人,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
002987.SZ,京北方,金融知识智能体与数字员工,知识智能体与数字员工,客服与风控,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
603927.SH,中科软,中科文澜大模型与AI+云原生寿险核心系统,保险大模型,智能核保与理赔,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
688590.SH,新致软件,新知大模型与AI一体机,保险大模型与边缘部署,智能理赔、双录质检与核保,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
002230.SZ,科大讯飞,星火大模型金融解决方案,通用大模型与语音NLP,金融客服、营销与投研,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
300229.SZ,拓尔思,拓天金融大模型,金融NLP与知识图谱,舆情监控、智能研报与风控预警,user_provided_stage1_doc,"第一部分1修改-2.docx 第4.1节",pending_annual_report_page_verification
