recommendation_rank,job_id,company_name,company_code,job_title,source_sheet,source_row,matched_profile_skills,simulated_skill_fit_reward,bandit_q_value,selection_count,target_profile,reward_definition,method_boundary
1,JOB_0137,金证股份,600446.SH,Java开发工程师,1-4,141,SQL、金融、风控、机器学习、大模型,0.625,0.625,3690,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
2,JOB_0161,拓尔思,300229.SZ,高级数据分析师（正式）,13-15,20,Python、SQL、金融、数据分析,0.5,0.33616,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
3,JOB_0163,天阳科技,300872.SZ,金融工程师,9-12,2,Python、金融、统计,0.375,0.324668,9,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
4,JOB_0126,金证股份,600446.SH,Java开发工程师（海通证券）,1-4,130,SQL、金融、风控,0.375,0.296357,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
5,JOB_0119,东方财富,300059.SZ,算法工程师（大模型方向）,1-4,122,Python、金融、机器学习、大模型,0.5,0.2952,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
6,JOB_0146,新致软件,688590.SH,测试工程师（兴业银行外包）,13-15,5,Python、SQL、金融、风控,0.5,0.2952,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
7,JOB_0162,拓尔思,300229.SZ,数据分析实习生,13-15,21,Python、SQL、金融、数据分析,0.5,0.2952,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
8,JOB_0072,同花顺,300033.SZ,视频生成算法工程师,1-4,74,Python、机器学习、大模型,0.375,0.276696,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
9,JOB_0149,新致软件,688590.SH,测试工程师（外派保险）,13-15,8,Python、SQL、金融,0.375,0.276696,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
10,JOB_0158,拓尔思,300229.SZ,数据分析实习生,13-15,17,Python、SQL、数据分析,0.375,0.276696,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
