sample_order,company_code,company_name,segment,core_ai_fintech_capability,selection_basis,screening_status,source_document,core_ai_directions,direction_keywords,evidence_sections,interpretation_note
1,600570.SH,恒生电子,证券与资管科技,LightGPT大模型、WarrenQ智能投研平台与LIGHT 6.0 AI生态架构,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,工程与基础设施；视觉与智能决策；金融业务场景,金融云、AIOps；推荐系统、决策引擎；业财一体化、量化投资、核心银行系统、财务SaaS、支付清算、数字银行、资产管理、税务数字化、信用评分、银行IT、财富管理、开放银行、供应链金融,core_competitiveness、r_and_d；core_competitiveness；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
2,300033.SZ,同花顺,证券与资管科技,问财金融大模型、同创智能体平台及C端投顾与B端投研,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,数据与安全；工程与基础设施；金融业务场景,金融大数据、数据治理、主数据管理、数据质量、数据资产、数据血缘、数据仓库、数据湖、网络安全、多方安全计算、安全运营、智能合约；金融云、微服务；核心银行系统、供应链金融、量化投资、银行IT、财务SaaS、财务共享,business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
3,300059.SZ,东方财富,证券与资管科技,妙想金融大模型与投研助理,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,金融业务场景；数据与安全；工程与基础设施,财务SaaS、供应链金融、量化投资、财富管理、业财一体化、资产管理、银行IT、开放银行、信贷风控、数字银行；金融大数据、数据资产、数据仓库、数据质量、主数据管理、多方安全计算、零信任、隐私计算、流式计算；金融云、云计算,business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
4,600446.SH,金证股份,证券与资管科技,K-GPT、AI-KOCA与金融RPA/流程自动化,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,人工智能基础；数据与安全；大模型与语言技术,人工智能、AIGC；金融大数据、数据资产、数据质量、主数据管理、智能合约、多方安全计算、隐私计算；智能客服、智能问答、提示工程,core_competitiveness；business_overview、core_competitiveness、r_and_d、management_discussion；core_competitiveness、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
5,300377.SZ,赢时胜,证券与资管科技,资管与托管IT、AI Agent专业服务器与大模型适配,Qwen/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,大模型与语言技术；金融业务场景；数据与安全,信息抽取；财务SaaS、量化投资、信贷风控、业财一体化、银行IT、信用评分、财务共享、核心银行系统、供应链金融；实时计算、多方安全计算、数据资产、数据质量、流式计算、金融大数据、隐私计算,business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
6,300674.SZ,宇信科技,银行科技,信贷AI智能体、ChatBI及金融机构信贷流程智能化,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,人工智能基础；工程与基础设施；金融业务场景,人工智能、深度学习、AIGC；金融云、AIOps、云计算；银行IT、核心银行系统、信贷风控、财务SaaS、供应链金融、合规科技、RPA、业财一体化、量化投资、财务共享,core_competitiveness、r_and_d；business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
7,000555.SZ,神州信息,银行科技,企业级智能体中台、Skillbase Agent OS与AI for Process,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,工程与基础设施；大模型与语言技术；数据与安全,金融云、分布式架构、云计算；智能客服、信息抽取；金融大数据、主数据管理、数据资产、数据治理、数据质量、数据仓库、数据血缘,business_overview、core_competitiveness、r_and_d、management_discussion；core_competitiveness、r_and_d；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
8,300348.SZ,长亮科技,银行科技,AI4SE/AI4Biz、分布式AI核心系统与金融垂域大模型对接,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,工程与基础设施；人工智能基础；金融业务场景,国产化、AIOps；深度学习、人工智能、AIGC；量化投资、财务SaaS、财务共享、业财一体化、税务数字化、智能交易、银行IT、财富管理、数字银行、核心银行系统,business_overview、core_competitiveness；business_overview、core_competitiveness、r_and_d；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
9,300872.SZ,天阳科技,银行科技,天策/天元金融大模型、信用卡与智能风控/信贷审批,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,人工智能基础；工程与基础设施；金融业务场景,人工智能；金融云、云计算、国产化；核心银行系统、银行IT、智能交易、财务SaaS、数字银行、供应链金融、业财一体化、量化投资、税务数字化、财富管理,business_overview；business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
10,300663.SZ,科蓝软件,银行科技,魔聚企业级智能体底座、AI原生手机银行与网点智能机器人,Qwen/DeepSeek/豆包/Gemini交叉共识,author_defined,第一部分1修改-2.docx,大模型与语言技术；金融业务场景；数据与安全,智能客服、提示工程；核心银行系统、银行IT、财务SaaS、业财一体化、税务数字化、供应链金融、信贷风控；主数据管理、金融大数据、数据资产、安全运营、多方安全计算、数据质量、数据治理、流式计算,business_overview、core_competitiveness、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion；business_overview、core_competitiveness、r_and_d、management_discussion,核心方向由预训练句向量模型在四类年报章节中与研究词库的平均语义相似度前3类别确定；仅表示文本布局重点，需结合年报原文页码及产品页复核，不等同于收入占比或技术性能。
