job_id,company_code,company_name,platform,job_title,salary_raw,location_raw,education_raw,experience_raw,skills_raw,ai_tech_stack_raw,job_description_raw,source_workbook,source_sheet,source_row
JOB_0242,000555.SZ,神州信息,官网校招,27届提前批-Java开发工程师（西安）(J21822),面议,陕西省·西安市,计算机科学、软件工程等相关理工类专业，本科及以上学历,27届提前批实习生，无明确工作经验要求，有相关开发经验优先，优秀者或合格者提供转正机会。,硬技能：具备系统设计、编码开发能力，熟悉java开发语言及相关框架；熟练使用JAVA语言及各类开源框架，如Spring、SpringMVC、SpringBoot、MyBatis等；熟练使用Oracle、MySql、SqlServer等数据库，对SQL语句能够调优分析；对网络通讯(TCP\HTTP\HTTPS)和接口安全技术有一定的了解。 软技能：对金融科技行业感兴趣，良好的沟通能力和学习能力以及超强责任心。,,技能要求：硬技能：具备系统设计、编码开发能力，熟悉java开发语言及相关框架；熟练使用JAVA语言及各类开源框架，如Spring、SpringMVC、SpringBoot、MyBatis等；熟练使用Oracle、MySql、SqlServer等数据库，对SQL语句能够调优分析；对网络通讯(TCP\HTTP\HTTPS)和接口安全技术有一定的了解。 软技能：对金融科技行业感兴趣，良好的沟通能力和学习能力以及超强责任心。 学历要求：计算机科学、软件工程等相关理工类专业，本科及以上学历 经验要求：27届提前批实习生，无明确工作经验要求，有相关开发经验优先，优秀者或合格者提供转正机会。 AI相关技术栈要求：,招聘信息整理.xlsx,5-8,49
JOB_0151,002230.SZ,科大讯飞,Boss直聘,高级 Java 开发工程师（科大讯飞）,30-45K・14 薪,北京,本科及以上,5-10 年工作经验，具备 2 年以上架构经验,硬技能：熟练掌握 Java，了解 Python、JavaScript/TypeScript；熟悉 MySQL、Redis、Spring、微服务架构；掌握 Git、代码规范、单元测试、接口调试、CI/CD 开发流程，熟悉 SDD 开发，具备架构设计能力。软技能：具备技术方案设计、代码评审、性能优化与工程化建设能力；熟悉信贷全流程业务逻辑与风控要点，可推动新技术在团队落地。,具备大模型相关经验；熟练使用 AI Coding 工具（claude code、codex 等任意一种）；可跟踪并落地 AI Coding、智能体开发、自动化测试、代码生成方向的新工具与实践,技能要求：硬技能：熟练掌握 Java，了解 Python、JavaScript/TypeScript；熟悉 MySQL、Redis、Spring、微服务架构；掌握 Git、代码规范、单元测试、接口调试、CI/CD 开发流程，熟悉 SDD 开发，具备架构设计能力。软技能：具备技术方案设计、代码评审、性能优化与工程化建设能力；熟悉信贷全流程业务逻辑与风控要点，可推动新技术在团队落地。 学历要求：本科及以上 经验要求：5-10 年工作经验，具备 2 年以上架构经验 AI相关技术栈要求：具备大模型相关经验；熟练使用 AI Coding 工具（claude code、codex 等任意一种）；可跟踪并落地 AI Coding、智能体开发、自动化测试、代码生成方向的新工具与实践,招聘信息整理.xlsx,13-15,10
JOB_0182,002987.SZ,京北方,公司官网,高级全栈开发工程师,未公示,珠海,统招二本及以上，学信网可查,5 年及以上全栈开发经验；银行项目经验优先,后端精通 Java、Spring/SpringBoot/SpringCloud/MyBatis、Dubbo、Redis、Kafka；前端熟练 Vue+ElementUI；熟练 IDEA/Eclipse、Git；精通 MySQL 数据库；可独立完成架构设计、技术选型、核心算法研发、开发规范制定。持续学习新技术、快速适配项目；抗压，高强度工作适配；独立技术风险排查与方案输出,承担银行智能信贷、AI 账务、数字化金融系统前后端研发，搭建支撑金融 AI 模型调用、智能业务流程的全栈底层系统,技能要求：后端精通 Java、Spring/SpringBoot/SpringCloud/MyBatis、Dubbo、Redis、Kafka；前端熟练 Vue+ElementUI；熟练 IDEA/Eclipse、Git；精通 MySQL 数据库；可独立完成架构设计、技术选型、核心算法研发、开发规范制定。持续学习新技术、快速适配项目；抗压，高强度工作适配；独立技术风险排查与方案输出 学历要求：统招二本及以上，学信网可查 经验要求：5 年及以上全栈开发经验；银行项目经验优先 AI相关技术栈要求：承担银行智能信贷、AI 账务、数字化金融系统前后端研发，搭建支撑金融 AI 模型调用、智能业务流程的全栈底层系统,招聘信息整理.xlsx,9-12,21
JOB_0080,300033.SZ,同花顺,BOSS直聘,技术专家/架构师,50-80K·16薪,杭州,本科,5-10年,技术架构设计、系统规划、跨团队推进、团队管理,AI技术管理,技能要求：技术架构设计、系统规划、跨团队推进、团队管理 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：AI技术管理,招聘信息整理.xlsx,1-4,82
JOB_0099,300059.SZ,东方财富,BOSS直聘,服务端-AI应用开发-南京-27届暑期实习,200-250元/天,南京,本科,5天/周，持续2个月,Python/Java/Go/C++等编程语言，扎实的算法与数据结构基础；了解Agent系统开发，熟悉LangChain/LlamaIndex/AutoGen等框架；掌握Prompt工程、RAG、Tool Calling、上下文工程等AI应用关键技术；掌握OpenAPI、RPC、MCP等协议,大模型/多智能体（Multi-Agent）架构，Prompt工程，RAG（检索增强生成），Tool Calling，上下文编排，模型服务化与智能体调度架构，LangChain/LlamaIndex/AutoGen,技能要求：Python/Java/Go/C++等编程语言，扎实的算法与数据结构基础；了解Agent系统开发，熟悉LangChain/LlamaIndex/AutoGen等框架；掌握Prompt工程、RAG、Tool Calling、上下文工程等AI应用关键技术；掌握OpenAPI、RPC、MCP等协议 学历要求：本科 经验要求：5天/周，持续2个月 AI相关技术栈要求：大模型/多智能体（Multi-Agent）架构，Prompt工程，RAG（检索增强生成），Tool Calling，上下文编排，模型服务化与智能体调度架构，LangChain/LlamaIndex/AutoGen,招聘信息整理.xlsx,1-4,102
JOB_0154,300229.SZ,拓尔思,Boss直聘,金融行业大客户经理,15-30K,北京,本科及以上,3 年以上软件行业销售经验,硬技能：具备高端大客户商务洽谈与招投标能力；熟悉 SaaS 软件、数据业务产品销售；掌握金融行业消保、风控相关业务知识软技能：诚实守信，具备市场开拓能力与抗压能力；具备良好的职业素养,了解 AI、NLP、大数据、风控及企业舆情在金融行业的应用场景；了解大模型应用等科技发展状况,技能要求：硬技能：具备高端大客户商务洽谈与招投标能力；熟悉 SaaS 软件、数据业务产品销售；掌握金融行业消保、风控相关业务知识软技能：诚实守信，具备市场开拓能力与抗压能力；具备良好的职业素养 学历要求：本科及以上 经验要求：3 年以上软件行业销售经验 AI相关技术栈要求：了解 AI、NLP、大数据、风控及企业舆情在金融行业的应用场景；了解大模型应用等科技发展状况,招聘信息整理.xlsx,13-15,13
JOB_0244,300348.SZ,长亮科技,官网社招,销售经理（大数据产品）,面议,北京、上海、深圳,大专及以上,有金融行业背景，具备相关销售/售前支持相关经验优先,硬技能：具备商业智能解决方案知识，熟悉数据仓库、大数据、数据治理、数据分析、风险管理等领域知识，了解银行行业计算机应用系统； 软技能：良好的沟通协调能力，独立的商务拓展能力，客户关系维护能力，需求分析与解决方案提供能力,,技能要求：硬技能：具备商业智能解决方案知识，熟悉数据仓库、大数据、数据治理、数据分析、风险管理等领域知识，了解银行行业计算机应用系统； 软技能：良好的沟通协调能力，独立的商务拓展能力，客户关系维护能力，需求分析与解决方案提供能力 学历要求：大专及以上 经验要求：有金融行业背景，具备相关销售/售前支持相关经验优先 AI相关技术栈要求：,招聘信息整理.xlsx,5-8,51
JOB_0195,300377.SZ,赢时胜,官网校招,需求分析实习生,3000 - 5000 元/月,长沙,1、全日制本科或研究生以上学历，2027届计算机、金融或财务相关专业毕业生；,1、有较强的逻辑思维能力，分析能力，了解金融及经济学理论知识，热爱金融行业；2、具备较强的业务理解和学习能力，能快速学习新业务，文档撰写能力较好；3、工作抗压能力强，能适应中短期出差。性格特征：责任感强，主动好学，性格开朗，有良好沟通协调能力，有良好的团队协作能力。,1、负责公司资金清算或信息披露或估值核算等相关产品用户需求调研、分析整理及跟踪；2、撰写用户需求说明书与需求设计等相关文档；3、使用AXURE等原型工具绘制界面原型或使用相关工具对系统的指标或模型进行验证；,,技能要求：1、负责公司资金清算或信息披露或估值核算等相关产品用户需求调研、分析整理及跟踪；2、撰写用户需求说明书与需求设计等相关文档；3、使用AXURE等原型工具绘制界面原型或使用相关工具对系统的指标或模型进行验证； 学历要求：1、全日制本科或研究生以上学历，2027届计算机、金融或财务相关专业毕业生； 经验要求：1、有较强的逻辑思维能力，分析能力，了解金融及经济学理论知识，热爱金融行业；2、具备较强的业务理解和学习能力，能快速学习新业务，文档撰写能力较好；3、工作抗压能力强，能适应中短期出差。性格特征：责任感强，主动好学，性格开朗，有良好沟通协调能力，有良好的团队协作能力。 AI相关技术栈要求：,招聘信息整理.xlsx,5-8,2
JOB_0176,300663.SZ,科蓝软件,公司官网,初级 JAVA 开发工程师,未公示,北京,统招 211 知名高校本科及以上学历，计算机软件相关专业,一年以上大、中型 JAVA 项目开发经验,熟练掌握 Java、JavaScript、C 等语言及 J2EE 架构；熟悉 Tomcat、JBOSS、Weblogic、Web Sphere 主流应用服务器至少一种；能根据设计文档高效完成编码、单元测试。具备良好的编码规范与流程执行能力；具备团队协作意识；能配合完成项目相关文档编写；具备较强的执行与跟进能力,,技能要求：熟练掌握 Java、JavaScript、C 等语言及 J2EE 架构；熟悉 Tomcat、JBOSS、Weblogic、Web Sphere 主流应用服务器至少一种；能根据设计文档高效完成编码、单元测试。具备良好的编码规范与流程执行能力；具备团队协作意识；能配合完成项目相关文档编写；具备较强的执行与跟进能力 学历要求：统招 211 知名高校本科及以上学历，计算机软件相关专业 经验要求：一年以上大、中型 JAVA 项目开发经验 AI相关技术栈要求：,招聘信息整理.xlsx,9-12,15
JOB_0209,300674.SZ,宇信科技,官网社招,信贷业务专家(J11646),面议,北京市,国内985/211大学或者海外QS排名100以内的著名大学的经济学、金融学、统计学相关本科及以上学历,6年以上金融it行业相关工作经验，熟悉银行、公司信贷业务、零售信贷业务、投行类业务、同业类业务等企业类授信相关的流程及管理制度,硬技能：新产品方向策划与确定能力，信贷类软件产品研发组织与管理能力，解决方案管理与市场推广能力，售前项目管理能力，团队培养与培训能力，信贷业务需求设计能力 软技能：归纳提炼总结能力，沟通能力，方案与需求编制能力，市场趋势洞察能力,聚焦 AI+MCN 领域，需开展 AI 行业研究、AI 相关标的筛选与投资价值评估,技能要求：硬技能：新产品方向策划与确定能力，信贷类软件产品研发组织与管理能力，解决方案管理与市场推广能力，售前项目管理能力，团队培养与培训能力，信贷业务需求设计能力 软技能：归纳提炼总结能力，沟通能力，方案与需求编制能力，市场趋势洞察能力 学历要求：国内985/211大学或者海外QS排名100以内的著名大学的经济学、金融学、统计学相关本科及以上学历 经验要求：6年以上金融it行业相关工作经验，熟悉银行、公司信贷业务、零售信贷业务、投行类业务、同业类业务等企业类授信相关的流程及管理制度 AI相关技术栈要求：聚焦 AI+MCN 领域，需开展 AI 行业研究、AI 相关标的筛选与投资价值评估,招聘信息整理.xlsx,5-8,16
