company_code,company_name,screenshot_page,source_filename,local_path,sha256,page_title,identified_product_entities,explicit_ai_terms,review_outcome,review_note
002987.SZ,京北方,1,11.京北方-截图1.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图1.jpeg,a9297fd27f1399d23f7925bc6e7062a359ac8aaa94c35e9ccd4f7cc6e073b93a,盘庚测试平台类,盘庚测试平台类,人工智能；大数据,included_financial_ai_entity,测试平台页面明确说明引入人工智能和大数据技术。
002987.SZ,京北方,10,11.京北方-截图10.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图10.jpeg,54ee985676f8f18f15e2d80c304079722cdfd34520884e4cda63e37a35ba77f7,风险及合规管理类,反洗钱监测分析系统,人工智能；大语言模型,included_financial_ai_entity,反洗钱监测分析系统页面明确出现人工智能和大语言模型。
002987.SZ,京北方,11,11.京北方-截图11.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图11.jpeg,fd65fbb2089ed5b1b204185bbcc0e8e5cfb8e0223385d3f477a41b8180de3a87,数字化管理及创新服务类,,AI,explicit_ai_but_non_financial_scope,企业级数字化管理系统出现 AI 描述，但该页面主体为通用企业管理，不作为金融业务范围内产品实体入图。
002987.SZ,京北方,12,11.京北方-截图12.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图12.jpeg,0cd0b754f0cea25d05fbd0f3072df47892807b4708763c836b979e4f99aaa3e2,咨询服务,,大数据；智能营销,no_distinct_financial_ai_entity,页面为咨询服务介绍，未列出满足入图条件的独立金融 AI 产品实体。
002987.SZ,京北方,13,11.京北方-截图13.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图13.jpeg,b45e41bac67902b038f194e09a2bfd00993a9ca246aaf36ab6e59a3a20935c65,软件开发服务,,,no_distinct_financial_ai_entity,软件开发服务页面未出现可确认的独立金融 AI 产品实体。
002987.SZ,京北方,14,11.京北方-截图14.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图14.jpeg,bee1c0fb078abc188bde7940acf23be65413747a0ead1fb910c01b97abd9b643,软件测试服务,,自动化测试,no_distinct_financial_ai_entity,测试服务包含自动化测试描述，但未出现明确 AI 技术证据和独立金融 AI 产品实体的组合。
002987.SZ,京北方,15,11.京北方-截图15.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图15.jpeg,fd5054d7ea6246826c72d08ff8110a8248548f7689a0076761b7580f67112fe7,IT 运维服务,,,no_distinct_financial_ai_entity,IT 运维服务页面未出现可确认的独立金融 AI 产品实体。
002987.SZ,京北方,16,11.京北方-截图16.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图16.jpeg,ee9c1af60614eb38086eae75ef33df575663312a5ee3a3c47f80a2c28afcfa11,数字化运营服务,,智能化,no_distinct_financial_ai_entity,数字化运营服务页面仅见泛化“智能化”描述，未达到明确 AI 技术证据标准。
002987.SZ,京北方,17,11.京北方-截图17.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图17.jpeg,e01ccd4eaecb7bd3e1dc2d79b92c78ddadc3b7d449bbfb30bab75bb1ce86c974,智慧营销及客户服务,,智能化,no_distinct_financial_ai_entity,页面为营销与客服服务介绍，未列出可确认的独立金融 AI 产品实体。
002987.SZ,京北方,2,11.京北方-截图2.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图2.jpeg,586cd5126ebdd3599c200c9c01b0c0177b23ab18ff2d8ea028b98f4b725ab0e1,影像及流程管理类,统一影像管理平台；综合档案管理系统；数字化协同办公平台,OCR；自然语言处理；大模型算法；智能机器人,included_financial_ai_entity,页面列出影像、档案和协同办公产品，并明确出现 OCR、自然语言处理和大模型算法。
002987.SZ,京北方,3,11.京北方-截图3.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图3.jpeg,9284fa177e3df75998d0f134fad41b01fc49de59308fdd8ec264d33706730448,大数据类,,大数据,no_distinct_financial_ai_entity,页面为大数据产品目录，未见可与明确 AI 技术证据对应的独立金融 AI 产品实体。
002987.SZ,京北方,4,11.京北方-截图4.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图4.jpeg,c4335636bae3dae40d6422a7f6467f265ff0de12204a4b00219fea80ede06044,AI 人工智能类,OCR智能识别服务平台；RPA机器人流程自动化平台；NLP及大模型算法服务平台；企业知识助手,OCR；RPA；NLP；大模型；知识助手,included_financial_ai_entity,页面直接列示 OCR、RPA、NLP/大模型和知识助手产品。
002987.SZ,京北方,5,11.京北方-截图5.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图5.jpeg,88e6762ab6e47fe0277a99ed449337450d3840cc7ed0553319e6438ab986eb4e,基础技术平台类,流程平台,人工智能识别技术,included_financial_ai_entity,流程平台说明采用人工智能识别技术；统一开发平台仅为技术栈罗列，未单独计入。
