company_code,company_name,product_line,ai_direction,application_scenario,source_type,source_reference,verification_status,text_snapshot_path,exact_product_name_text_match,screenshot_count,screenshot_paths,evidence_status,entity_verification_status,verified_anchors,annual_report_match_locations,entity_evidence_excerpt,evidence_note
600570.SH,恒生电子,LightGPT与WarrenQ智能投研平台,大模型与智能投研,机构核心交易与投研,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/1-4 产品文字版.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,partial_distinctive_product_entity_text_verification,WarrenQ,WarrenQ:management_discussion p4-15,WarrenQ [management_discussion p.4-15] 户服务、家族信托等产品，经纪业务产品线主要 为经纪核心业务运营平台UF系列产品和投资赢家产品。 业务进展方面：经纪业务方面，新一代核心业务系统UF3.0市场拓展成效显著，2025年签约 客户已达20余家。报告期内，财通证券UF3.0账户运营系统全面上线，国金证券两融自主可控内 存交易系统实现全客户切换，方正证券自主可控证券内存交易系统上线百万客户，山西证券UF3.0 账户运营全面上线。新一代架构在自主可控适配、高并发交易、账户运营等关键场景均通过规模 化验证，系统稳定性、可靠性与可扩展性进一步夯实。公司将以UF3.0为核心底座，深化自主可 控与分布式技术落地，持续打磨高可用、低时延、易扩展的新一代交易体系，助力券商客户实现 核心系统自主可控与数字化转型，为经纪业务高质量发,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
300033.SZ,同花顺,问财金融大模型与同创智能体平台,大模型与智能投顾,C端投顾与B端机构投研,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/1-4 产品文字版.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,no_distinctive_product_entity_text_match_found,,,,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
300059.SZ,东方财富,妙想金融大模型与妙想投研助理,大模型与投研,投研与交易闭环,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/1-4 产品文字版.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,all_distinctive_product_entities_text_verified,妙想金融大模型；妙想投研助理,妙想金融大模型:business_overview p11-22；妙想投研助理:business_overview p11-22,"妙想金融大模型 [business_overview p.11-22] . LTD.。本年合并范围内新增10只结构化主体，减少5只结构化 主体。于2025年12月31日，共有49只产品因本公司享有的可变回报重大而纳入本公司财务报表的合并范围。 （7） 公司报告期内业务、产品或服务发生重大变化或调整有关情况 □适用 不适用 （8） 主要销售客户和主要供应商情况 公司主要销售客户情况 前五名客户合计销售金额（元） 922,605,814.85 前五名客户合计销售金额占年度销售总额比例 5.74% 前五名客户销售额中关联方销售额占年度销售总额比例 0.00% 公司前5大客户资料 序号 客户名称 销售额（元） 占年度销售总额比例 1 客户一 252,297,282.29 1.57% 2 客户二 208,177,422.65 1.30% 3 客户三 
妙想投研助理 [business_overview p.11-22] 智能投资三位一体的价值共生体系，推动财富管理服务向更智能、更贴心、更有温度持续迭 代升级。截至报告期末，天天基金共上线 164 家公募基金管理人 21,930只基金产品3，非货币市场公募基 金保有规模7,701.33亿元，权益类基金保有规模4,456.17亿元。报告期内，公司互联网金融电子商务平台 共计实现基金认（申）购（含定投）交易257,671,982笔，基金销售额为26,055.84亿元，其中非货币型基 金共计实现认（申）购（含定投）交易166,662,521笔，销售额为15,814.26亿元。 报告期内，妙想 AI 能力全面融入赋能公司各产品各业务条线，以 AI+功能重塑用户一站式财富管理 体验，进一步巩固和提升公司市场地位。妙想大模型上线东方财富旗下各产品端，将",官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
600446.SH,金证股份,K-GPT与AI-KOCA平台,金融大模型与流程智能化,证券IT与RPA,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/1-4 产品文字版.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,partial_distinctive_product_entity_text_verification,K-GPT,K-GPT:core_competitiveness p15-26,K-GPT [core_competitiveness p.15-26] 作权，研发人员占公司总人数比例超过70%， 公司拥有众多行业资深、经验丰富的专家人才，核心技术团队稳定。2025年全年研发投入5.00 亿元，2023年至2025年公司累计研发投入16.28亿元。公司构建起完整的基础技术平台生态链， 在技术产品成熟度、高性能、高可靠和高可用方面均达到国内领先水平，金证开放云原生技术平 台（KOCA）成为公司得以保证科技先进性的统一技术平台。在人工智能领域，公司自主研发金 融领域特定场景大语言模型K-GPT、代码大模型K-CODE及开发应用平台，推动技术创新和业务 创新的双向赋能。 15/212 深圳市金证科技股份有限公司2025年年度报告 在产品上，公司能够为金融机构客户提供全流程、前中后台兼备的整体解决方案，并提供售 前、售中、售后全流,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
300377.SZ,赢时胜,AI-Agent专业服务器,智能体与资管IT,资管风控与投研决策,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/5-8产品全部.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,no_distinctive_product_entity_text_match_found,,,,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
300674.SZ,宇信科技,星睿智调信贷AI智能体与ChatBI,信贷智能体与数据智能,信贷尽调、审批与数据分析,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/5-8产品全部.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,all_distinctive_product_entities_text_verified,星睿智调；ChatBI,星睿智调:business_overview p17-28；ChatBI:business_overview p17-28,"星睿智调 [business_overview p.17-28] 上荣获“十四五”金融创新优秀案例奖，获得行业权威认可。同 时，报告期内中标某国有银行总行信贷黑产反欺诈咨询项目，进一步增强在零售信贷风险治理与反欺诈 体系建设领域的服务能力。此外，公司坚持强化资源整合与生态合作，进一步夯实零售信贷业务发展基 础。 ②场景金融多点发力，普惠金融与汽车金融协同推进 24 2025年年度报告全文 报告期内，公司加快场景金融业务布局，在普惠金融与汽车金融科技赋能方向取得显著进展。在普 惠金融场景，与多家区域性银行围绕普惠生态场景共建达成深度合作意向，持续推进业务模式落地及复 制。依托既有技术与运营能力，公司不断完善场景金融综合服务体系，增强与金融机构的合作黏性。在 汽车金融领域，公司与城商行合作的自营产品成功上线，强化了自主运营与风险管控能力；同
ChatBI [business_overview p.17-28] 计划在香港联交所上市，体现公司资本战略与业务战略的高度协同，有助于持续 打造企业核心竞争力，为下一阶段的技术引领与业务爆发积蓄势能。 我们坚信，AI与金融科技的深度融合，正从根本上重塑全球金融行业的竞争格局与演进路径。作 为这一变革的深度参与者与推动者，宇信科技目标清晰且坚定——致力于成为AI时代金融新基建“总 21 2025年年度报告全文 架构师”，并成为全球金融机构在数字化转型与智能化升级进程中的首选伙伴。面向未来，我们已做好 准备，将以持续的引领力，与行业一道共同书写金融科技的下一个十年。 报告期内主要完成工作如下： （1）聚焦“AI+全球化+Web3”，四大产品线全面突破 ①AI赋能信贷业务持续领跑，深度嵌入高频场景赢得客户认可 2025年，公司信贷业务线继续保持",官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
000555.SZ,神州信息,企业级智能体中台与Skillbase Agent OS,流程智能体,银行业务流程,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/5-8产品全部.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,no_distinctive_product_entity_text_match_found,,,,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
300348.SZ,长亮科技,分布式AI核心系统,AI原生核心系统,银行核心系统与金融垂域模型,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,data/raw/product_page_snapshots/5-8产品全部.docx,False,0,,website_text_snapshot_available_product_name_not_exactly_matched,no_distinctive_product_entity_text_match_found,,,,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
300872.SZ,天阳科技,天策/天元金融大模型,金融大模型与风控,信用卡、风控与信贷审批,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,,False,5,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图1.jpeg；data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图2.jpeg；data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图3.jpeg；data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图4.jpeg；data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图5.jpeg,website_screenshots_available_manual_product_name_review_required,no_distinctive_product_entity_text_match_found,,,,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
300663.SZ,科蓝软件,魔聚企业级智能体底座,智能体与AI原生渠道,手机银行与网点机器人,user_provided_stage1_doc,第一部分1修改-2.docx 第4.1节,pending_annual_report_page_verification,,False,1,data/raw/product_page_screenshots/300663.SZ/10.科蓝软件-截图.jpeg,website_screenshots_available_manual_product_name_review_required,no_distinctive_product_entity_text_match_found,,,,官网快照覆盖只能支持来源追溯；产品名称、功能和场景需与具体页码或段落一一对应后才可标为已核验。
