prompt_version,field,jobs_with_repeats,pairwise_agreement
P1,ai_tech_stack,15,0.9333
P1,education,15,1.0
P1,experience,15,1.0
P1,hard_skills,15,0.7333
P1,job_title,15,1.0
P1,salary_range,15,1.0
P1,soft_skills,15,0.7333
P1,work_location,15,1.0
P2,ai_tech_stack,15,0.8667
P2,education,15,1.0
P2,experience,15,1.0
P2,hard_skills,15,0.8667
P2,job_title,15,1.0
P2,salary_range,15,1.0
P2,soft_skills,15,0.9333
P2,work_location,15,1.0
P3,ai_tech_stack,15,0.6667
P3,education,15,1.0
P3,experience,15,1.0
P3,hard_skills,15,0.8667
P3,job_title,15,1.0
P3,salary_range,15,1.0
P3,soft_skills,15,0.9333
P3,work_location,15,1.0
