company_name,platform,job_title,salary_raw,location_raw,skills_raw,education_raw,experience_raw,ai_tech_stack_raw,source_workbook,source_sheet,source_row,import_date,company_code,job_description_raw,job_id,job_url,publish_time_raw,crawl_date,source_id,dedup_key,company_code_missing,cleaning_note
恒生电子,BOSS直聘,数据开发工程师,15-25K,北京,硬技能：数据开发经验、SQL、数据平台开发、英语能作为工作语言 软技能：责任心、沟通能力,本科,3-5年,无明确要求,招聘信息整理.xlsx,1-4,2,2026-08-13,600570.SH,技能要求：硬技能：数据开发经验、SQL、数据平台开发、英语能作为工作语言 软技能：责任心、沟通能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无明确要求,JOB_0001,,,2026-08-13,user_recruitment_workbook,600570.SH|数据开发工程师|北京|技能要求：硬技能：数据开发经验、SQL、数据平台开发、英语能作为工作语言 软技能：责任心、沟通能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无明确要求,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,智能体开发工程师-研究院,30-40K,杭州,硬技能：Python、openclaw、claude code、智能体开发框架、loop engineering、self-evolve、多智能体协作、复杂工作流编排、垂直行业知识库落地 软技能：开源项目经验、竞赛获奖经历、学习能力,硕士,1-3年,Python、openclaw、claude code、智能体开发框架、大模型应用开发、agentic代码审查、自动化测试、架构资产生成、多智能体协作、工作流编排,招聘信息整理.xlsx,1-4,3,2026-08-13,600570.SH,技能要求：硬技能：Python、openclaw、claude code、智能体开发框架、loop engineering、self-evolve、多智能体协作、复杂工作流编排、垂直行业知识库落地 软技能：开源项目经验、竞赛获奖经历、学习能力 学历要求：硕士 经验要求：1-3年 AI相关技术栈要求：Python、openclaw、claude code、智能体开发框架、大模型应用开发、agentic代码审查、自动化测试、架构资产生成、多智能体协作、工作流编排,JOB_0002,,,2026-08-13,user_recruitment_workbook,600570.SH|智能体开发工程师-研究院|杭州|技能要求：硬技能：Python、openclaw、claude code、智能体开发框架、loop engineering、self-evolve、多智能体协作、复杂工作流编排、垂直行业知识库落地 软技能：开源项目经验、竞赛获奖经历、学习能力 学历要求：硕士 经验要求：1-3年 AI相关技术栈要求：Python、openclaw、claude code、智能体开发框架、大模型应用开发、agentic代码审查、自动化测试、架构资产生成、多智能体协作、工作流编排,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,高级C++开发工程师,30-50K,杭州,硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库（事务特性、索引）、Linux服务端开发、系统性能调优 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力,本科,3-5年,无,招聘信息整理.xlsx,1-4,4,2026-08-13,600570.SH,技能要求：硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库（事务特性、索引）、Linux服务端开发、系统性能调优 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无,JOB_0003,,,2026-08-13,user_recruitment_workbook,600570.SH|高级c++开发工程师|杭州|技能要求：硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库（事务特性、索引）、Linux服务端开发、系统性能调优 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,C++开发工程师-经纪业务,20-30K·14薪,杭州,硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库（MySQL、Oracle）、清算系统开发 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力,本科,3-5年,无,招聘信息整理.xlsx,1-4,5,2026-08-13,600570.SH,技能要求：硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库（MySQL、Oracle）、清算系统开发 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无,JOB_0004,,,2026-08-13,user_recruitment_workbook,600570.SH|c++开发工程师-经纪业务|杭州|技能要求：硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库（MySQL、Oracle）、清算系统开发 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,Java技术专家-资产管理,20-35K,武汉,硬技能：Java、多线程、Spring、Springboot、Dubbo、Redis、Zookeeper、MQ、Spring Cloud、微服务、架构设计、分布式系统 软技能：沟通能力、协调能力、团队精神、求知欲、创造力、责任感、抗压能力,本科,5-10年,无,招聘信息整理.xlsx,1-4,6,2026-08-13,600570.SH,技能要求：硬技能：Java、多线程、Spring、Springboot、Dubbo、Redis、Zookeeper、MQ、Spring Cloud、微服务、架构设计、分布式系统 软技能：沟通能力、协调能力、团队精神、求知欲、创造力、责任感、抗压能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,JOB_0005,,,2026-08-13,user_recruitment_workbook,600570.SH|java技术专家-资产管理|武汉|技能要求：硬技能：Java、多线程、Spring、Springboot、Dubbo、Redis、Zookeeper、MQ、Spring Cloud、微服务、架构设计、分布式系统 软技能：沟通能力、协调能力、团队精神、求知欲、创造力、责任感、抗压能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,C++开发工程师-经纪业务,20-30K,深圳,硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库、证券业务（股债基买卖、大宗交易）、融资融券业务、Java 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力,本科,5-10年,无,招聘信息整理.xlsx,1-4,7,2026-08-13,600570.SH,技能要求：硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库、证券业务（股债基买卖、大宗交易）、融资融券业务、Java 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,JOB_0006,,,2026-08-13,user_recruitment_workbook,600570.SH|c++开发工程师-经纪业务|深圳|技能要求：硬技能：C/C++、Linux、gdb调试、多线程/进程编程、内存管理、数据库、证券业务（股债基买卖、大宗交易）、融资融券业务、Java 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,C++开发工程师-经纪业务,20-30K,杭州,硬技能：C/C++、STL、Oracle、Linux、全内存证券交易系统、多线程/进程编程、内存管理、数据库 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力,本科,5-10年,无,招聘信息整理.xlsx,1-4,8,2026-08-13,600570.SH,技能要求：硬技能：C/C++、STL、Oracle、Linux、全内存证券交易系统、多线程/进程编程、内存管理、数据库 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,JOB_0007,,,2026-08-13,user_recruitment_workbook,600570.SH|c++开发工程师-经纪业务|杭州|技能要求：硬技能：C/C++、STL、Oracle、Linux、全内存证券交易系统、多线程/进程编程、内存管理、数据库 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,Java开发工程师-机构服务,20-30K,杭州,硬技能：Java、Spring、Spring Boot、Dubbo、JVM、IO、多线程、集合框架、Oracle/PG/MySQL/OB/达梦、Redis、Zookeeper、Nginx、Git、JavaScript、HTML5、CSS3、Vue、React 软技能：责任心、沟通能力、协作能力、学习能力、抗压能力,本科,3-5年,无,招聘信息整理.xlsx,1-4,9,2026-08-13,600570.SH,技能要求：硬技能：Java、Spring、Spring Boot、Dubbo、JVM、IO、多线程、集合框架、Oracle/PG/MySQL/OB/达梦、Redis、Zookeeper、Nginx、Git、JavaScript、HTML5、CSS3、Vue、React 软技能：责任心、沟通能力、协作能力、学习能力、抗压能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无,JOB_0008,,,2026-08-13,user_recruitment_workbook,600570.SH|java开发工程师-机构服务|杭州|技能要求：硬技能：Java、Spring、Spring Boot、Dubbo、JVM、IO、多线程、集合框架、Oracle/PG/MySQL/OB/达梦、Redis、Zookeeper、Nginx、Git、JavaScript、HTML5、CSS3、Vue、React 软技能：责任心、沟通能力、协作能力、学习能力、抗压能力 学历要求：本科 经验要求：3-5年 AI相关技术栈要求：无,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,C++开发工程师-经纪业务,20-30K·15薪,杭州,硬技能：C/C++、C、Linux、全内存证券交易系统、多线程/进程编程、内存管理、数据库 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力,本科,5-10年,无,招聘信息整理.xlsx,1-4,10,2026-08-13,600570.SH,技能要求：硬技能：C/C++、C、Linux、全内存证券交易系统、多线程/进程编程、内存管理、数据库 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,JOB_0009,,,2026-08-13,user_recruitment_workbook,600570.SH|c++开发工程师-经纪业务|杭州|技能要求：硬技能：C/C++、C、Linux、全内存证券交易系统、多线程/进程编程、内存管理、数据库 软技能：责任心、沟通能力、抗压能力、系统分析和设计能力、技术钻研能力 学历要求：本科 经验要求：5-10年 AI相关技术栈要求：无,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
恒生电子,BOSS直聘,模型后训练技术负责人（团队负责人）,50-80K,杭州,硬技能：模型后训练技术、团队管理与领导力 软技能：团队管理能力、技术领导力,硕士,5-10年,模型后训练（LLM Post-training）,招聘信息整理.xlsx,1-4,11,2026-08-13,600570.SH,技能要求：硬技能：模型后训练技术、团队管理与领导力 软技能：团队管理能力、技术领导力 学历要求：硕士 经验要求：5-10年 AI相关技术栈要求：模型后训练（LLM Post-training）,JOB_0010,,,2026-08-13,user_recruitment_workbook,600570.SH|模型后训练技术负责人（团队负责人）|杭州|技能要求：硬技能：模型后训练技术、团队管理与领导力 软技能：团队管理能力、技术领导力 学历要求：硕士 经验要求：5-10年 AI相关技术栈要求：模型后训练（LLM Post-training）,False,Whitespace normalized; duplicates removed by company/title/location/description-prefix key. Company code is mapped only from final_sample_pool.csv.
