node_id,node_type,label,evidence
company:600570.SH,company,恒生电子,第一部分1修改-2.docx
company:300033.SZ,company,同花顺,第一部分1修改-2.docx
company:300059.SZ,company,东方财富,第一部分1修改-2.docx
company:600446.SH,company,金证股份,第一部分1修改-2.docx
company:300377.SZ,company,赢时胜,第一部分1修改-2.docx
company:300674.SZ,company,宇信科技,第一部分1修改-2.docx
company:000555.SZ,company,神州信息,第一部分1修改-2.docx
company:300348.SZ,company,长亮科技,第一部分1修改-2.docx
company:300872.SZ,company,天阳科技,第一部分1修改-2.docx
company:300663.SZ,company,科蓝软件,第一部分1修改-2.docx
company:002987.SZ,company,京北方,第一部分1修改-2.docx
company:603927.SH,company,中科软,第一部分1修改-2.docx
company:688590.SH,company,新致软件,第一部分1修改-2.docx
company:002230.SZ,company,科大讯飞,第一部分1修改-2.docx
company:300229.SZ,company,拓尔思,第一部分1修改-2.docx
keyword:资产管理,keyword,资产管理,ai_fintech_keywords.csv
keyword:业财一体化,keyword,业财一体化,ai_fintech_keywords.csv
keyword:支付清算,keyword,支付清算,ai_fintech_keywords.csv
keyword:数据资产,keyword,数据资产,ai_fintech_keywords.csv
keyword:流式计算,keyword,流式计算,ai_fintech_keywords.csv
keyword:量化投资,keyword,量化投资,ai_fintech_keywords.csv
keyword:信用评分,keyword,信用评分,ai_fintech_keywords.csv
keyword:数字银行,keyword,数字银行,ai_fintech_keywords.csv
keyword:核心银行系统,keyword,核心银行系统,ai_fintech_keywords.csv
keyword:财务SaaS,keyword,财务SaaS,ai_fintech_keywords.csv
keyword:信贷风控,keyword,信贷风控,ai_fintech_keywords.csv
keyword:财富管理,keyword,财富管理,ai_fintech_keywords.csv
keyword:授信审批,keyword,授信审批,ai_fintech_keywords.csv
keyword:贷后管理,keyword,贷后管理,ai_fintech_keywords.csv
keyword:开放银行,keyword,开放银行,ai_fintech_keywords.csv
keyword:银行IT,keyword,银行IT,ai_fintech_keywords.csv
keyword:金融云,keyword,金融云,ai_fintech_keywords.csv
keyword:供应链金融,keyword,供应链金融,ai_fintech_keywords.csv
keyword:金融大数据,keyword,金融大数据,ai_fintech_keywords.csv
keyword:AIOps,keyword,AIOps,ai_fintech_keywords.csv
keyword:财务共享,keyword,财务共享,ai_fintech_keywords.csv
keyword:安全运营,keyword,安全运营,ai_fintech_keywords.csv
keyword:智能合约,keyword,智能合约,ai_fintech_keywords.csv
keyword:推荐系统,keyword,推荐系统,ai_fintech_keywords.csv
keyword:主数据管理,keyword,主数据管理,ai_fintech_keywords.csv
keyword:监管科技,keyword,监管科技,ai_fintech_keywords.csv
keyword:数据质量,keyword,数据质量,ai_fintech_keywords.csv
keyword:智能客服,keyword,智能客服,ai_fintech_keywords.csv
keyword:提示工程,keyword,提示工程,ai_fintech_keywords.csv
keyword:多方安全计算,keyword,多方安全计算,ai_fintech_keywords.csv
keyword:税务数字化,keyword,税务数字化,ai_fintech_keywords.csv
keyword:合规科技,keyword,合规科技,ai_fintech_keywords.csv
keyword:云计算,keyword,云计算,ai_fintech_keywords.csv
keyword:人工智能,keyword,人工智能,ai_fintech_keywords.csv
keyword:数据治理,keyword,数据治理,ai_fintech_keywords.csv
keyword:智能交易,keyword,智能交易,ai_fintech_keywords.csv
keyword:信息抽取,keyword,信息抽取,ai_fintech_keywords.csv
keyword:身份认证,keyword,身份认证,ai_fintech_keywords.csv
keyword:保险科技,keyword,保险科技,ai_fintech_keywords.csv
keyword:智能风控,keyword,智能风控,ai_fintech_keywords.csv
keyword:智能理赔,keyword,智能理赔,ai_fintech_keywords.csv
keyword:数据血缘,keyword,数据血缘,ai_fintech_keywords.csv
keyword:数据仓库,keyword,数据仓库,ai_fintech_keywords.csv
keyword:网络安全,keyword,网络安全,ai_fintech_keywords.csv
keyword:智能问答,keyword,智能问答,ai_fintech_keywords.csv
keyword:绿色金融,keyword,绿色金融,ai_fintech_keywords.csv
keyword:手机银行,keyword,手机银行,ai_fintech_keywords.csv
keyword:智能投顾,keyword,智能投顾,ai_fintech_keywords.csv
keyword:实时计算,keyword,实时计算,ai_fintech_keywords.csv
keyword:时序预测,keyword,时序预测,ai_fintech_keywords.csv
keyword:深度学习,keyword,深度学习,ai_fintech_keywords.csv
keyword:AIGC,keyword,AIGC,ai_fintech_keywords.csv
keyword:RPA,keyword,RPA,ai_fintech_keywords.csv
keyword:文本摘要,keyword,文本摘要,ai_fintech_keywords.csv
keyword:分布式架构,keyword,分布式架构,ai_fintech_keywords.csv
keyword:国产化,keyword,国产化,ai_fintech_keywords.csv
keyword:隐私计算,keyword,隐私计算,ai_fintech_keywords.csv
