company_code,company_name,job_title,posting_count,job_ids,source_sheets,source_rows,risk_score,score_repeatability,score_rule_clarity,score_data_structuredness,score_complex_communication,score_responsibility_judgment,score_compliance_trust,score_cross_function_coordination,evidence_repeatability,evidence_rule_clarity,evidence_data_structuredness,evidence_complex_communication,evidence_responsibility_judgment,evidence_compliance_trust,evidence_cross_function_coordination,risk_band,rubric,ranking_group
600446.SH,金证股份,Java开发工程师（深圳国泰海通）,1,JOB_0135,1-4,139,94.3,4.0,5.0,4.0,1.0,1.0,1.0,1.0,测试、文档,流程、规范、测试、SQL,SQL、数据库,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
300059.SZ,东方财富,JAVA服务端开发工程师 (财务系统-外包),1,JOB_0113,1-4,116,88.6,3.0,4.0,4.0,1.0,1.0,1.0,1.0,脚本,SQL、脚本,SQL、数据库,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
300059.SZ,东方财富,数据编辑,1,JOB_0100,1-4,103,88.6,4.0,3.0,4.0,1.0,1.0,1.0,1.0,录入、数据处理,SQL,SQL、数据处理,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
300059.SZ,东方财富,数据编辑 (MJ001940),1,JOB_0098,1-4,101,88.6,4.0,3.0,4.0,1.0,1.0,1.0,1.0,录入、数据处理,SQL,SQL、数据处理,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
300059.SZ,东方财富,数据编辑 (MJ001945),1,JOB_0114,1-4,117,88.6,4.0,3.0,4.0,1.0,1.0,1.0,1.0,录入、数据处理,SQL,SQL、数据处理,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
300059.SZ,东方财富,数据编辑专员,1,JOB_0115,1-4,118,88.6,4.0,3.0,4.0,1.0,1.0,1.0,1.0,录入、数据处理,SQL,SQL、数据处理,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
300674.SZ,宇信科技,【校招】大数据开发工程师(J12463),1,JOB_0225,5-8,32,88.6,3.0,3.0,5.0,1.0,1.0,1.0,1.0,数据处理,SQL,SQL、数据仓库、数据处理、数据建模,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
600446.SH,金证股份,Java开发工程师（上海国泰海通项目）,1,JOB_0139,1-4,143,88.6,3.0,4.0,4.0,1.0,1.0,1.0,1.0,测试,规范、测试、SQL,SQL、数据库,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
600446.SH,金证股份,Python开发,1,JOB_0125,1-4,129,88.6,3.0,3.0,5.0,1.0,1.0,1.0,1.0,数据处理,SQL,SQL、数据库、数据处理、交易,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
300033.SZ,同花顺,数据分析,1,JOB_0024,1-4,26,85.7,3.0,3.0,4.0,1.0,1.0,1.0,1.0,数据处理,SQL,SQL、数据处理、统计,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最高10
