company_code,category,mean_similarity,matched_keywords,evidence_sections,category_rank,retained_category_zscore,sensitivity_rank
000555.SZ,工程与基础设施,0.5842712,金融云、分布式架构、云计算,business_overview、core_competitiveness、r_and_d,1,0.793948,3
000555.SZ,金融业务场景,0.5620345714285714,数字银行、核心银行系统、银行IT、信贷风控、财务SaaS、贷后管理、税务数字化、财富管理、资产管理,business_overview、core_competitiveness、r_and_d、management_discussion,2,2.336248,1
000555.SZ,数据与安全,0.5447484210526315,金融大数据、主数据管理、数据资产、数据治理、数据质量、数据仓库、数据血缘,business_overview、core_competitiveness、r_and_d、management_discussion,3,1.339959,2
000555.SZ,大模型与语言技术,0.544393,智能客服、信息抽取,core_competitiveness、r_and_d,4,0.641212,4
002230.SZ,大模型与语言技术,0.5177163,智能客服、智能问答、大语言模型、语音识别、语音合成、提示工程,business_overview、core_competitiveness、r_and_d、management_discussion,1,0.435406,3
002230.SZ,人工智能基础,0.5033729,人工智能、AIGC、模型部署、模型可解释性、模型治理、模型训练,business_overview、core_competitiveness、r_and_d,2,0.792023,1
002230.SZ,工程与基础设施,0.48645166666666667,AIOps、云计算,core_competitiveness、r_and_d,3,0.070012,4
002230.SZ,数据与安全,0.47742757142857145,数据质量、智能合约、金融大数据、数据资产、实时计算,business_overview、core_competitiveness、r_and_d、management_discussion,4,-0.978073,5
002230.SZ,金融业务场景,0.4736643125,合规科技、智能交易、智能风控、银行IT、核心银行系统、资产管理、财务共享、财务SaaS、财富管理、信贷风控、授信审批、信用评分、量化投资,business_overview、core_competitiveness、r_and_d、management_discussion,5,-1.270751,6
002230.SZ,视觉与智能决策,0.4692815,推荐系统、时序预测,business_overview、management_discussion,6,0.614916,2
002987.SZ,人工智能基础,0.546696,人工智能,core_competitiveness、r_and_d,1,0.948829,2
002987.SZ,数据与安全,0.5339556470588236,金融大数据、主数据管理、数据资产、数据质量、数据治理、多方安全计算,business_overview、core_competitiveness、r_and_d、management_discussion,2,0.968336,1
